ID	s	d	ts	te	LLC	Pid	size	band usage
----------------------------------------------------
112	2	5	190	204	14	4	2400	4	0	0	1	3	1
113	1	4	190	196	6	0	60	4	0	0	3	1	1
114	1	4	190	192	2	1	600	2	1	0	1	0	1
116	2	5	206	224	18	4	3000	3	1	0	0	2	1
117	2	5	206	220	14	0	60	2	0	0	1	1	1
118	1	4	206	270	64	0	3000	5	1	0	1	3	1
120	2	5	206	220	14	0	60	2	1	0	0	1	1
122	0	5	206	340	134	1	600	8	1	0	3	4	1
123	1	4	206	265	59	0	60	8	0	0	5	3	1
124	1	5	206	310	104	0	60	21	1	0	9	11	1
126	1	4	206	264	58	0	600	5	1	0	3	1	1
127	1	3	206	303	97	1	600	12	1	0	5	6	1
128	1	4	206	265	59	1	600	4	0	0	2	2	1
130	0	5	206	346	140	0	60	10	1	0	6	3	1
131	1	4	225	230	5	0	60	2	1	0	0	1	1
132	1	4	225	235	10	1	600	2	0	0	0	2	1
133	2	4	225	329	104	0	60	23	2	0	9	12	1
134	2	5	225	227	2	0	600	2	1	0	0	1	1
135	1	5	225	345	120	0	60	25	2	0	11	12	1
136	0	5	225	348	123	1	600	24	4	0	10	10	1
137	1	3	225	294	69	0	60	15	2	0	5	8	1
138	1	3	225	301	76	0	600	8	3	0	3	2	1
139	1	4	225	236	11	0	60	4	1	0	0	3	1
140	1	3	237	303	66	4	2400	12	2	0	7	3	1
141	1	4	237	248	11	7	3000	4	0	0	3	1	1
142	0	4	237	332	95	0	600	12	0	0	6	6	1
143	1	4	237	240	3	0	600	2	0	0	0	2	1
144	2	4	237	306	69	0	60	14	1	0	5	8	1
145	1	3	237	283	46	0	600	5	2	0	2	1	1
146	1	3	237	289	52	0	60	12	2	0	4	6	1
147	1	4	237	241	4	0	60	2	1	0	0	1	1
148	0	4	237	298	61	0	60	4	1	0	3	0	1
149	2	4	237	296	59	6	3000	13	0	0	9	4	1
